0,1
쑥 들어간 제품들을 평소에 좋아해서 쑥 화장품으로 대부분 쓰려고 해요 아침 저녁으로 매일 매일 쓰기에 부담이 없고 좋습니다자연약쑥 진정 토너라 자극없이 쓰기에도 좋고 녹차 루이보스 캐모마일 쑥 페퍼민트 로즈마리 유칼리투스잎이 들어간 그린 허브 성분이라 피부 진정에도 도움이 되는거 같아요,1
화장품 상자에 한번 더 뽁뽁이  포장으로  꼼꼼하게 담아져 있었고  화장품 용기는 플라스틱 용기인데  용량이 커서  한참 쓸 수 있어 좋네요 뚜껑을 열었을때  향기 좋네 하는 느낌이 없으니 향을 중요시  하는 분은  좋아하지  않을 듯 하네요바르고 조금 시간이 지나면  향이  없어지는 것  같아요용기에 적혀 있는 글씨가 너무 적어  안보였는데 세트 구입했더니 앰플인지 뭔지 모르겠는데  작은 샘플이 개가 있네요  싼 가격에  이 구성이면  좋네요,1
대용량에 헐 감동입니다 개는 지인도 팍팍 쓰라고 선물했어요이건 화장솜에 듬뿍 하셔서 많이 하셔도 흡수는 잘됩니다 저는 얼굴에 흡수가 안되는 타입인데 제품이 흡수 잘되고요 약간의 알콜냄새는 살짝 스치는 정도 입니다 코로나에 다들 든데 이 가격에 정말 감사합니다 마구 쓰시고 싶은 분은 구입 하시고 쫀질한 느낌과 깊은 느낌분들은 살짝 고민하시고 클렌징으로 쓰고 싶다 하시는 분들은 차 쓰시고 고가의 스킨을 바르시는것도 좋을듯 합니다,1
아직 사용전인데 오자마자 간병이모님이 머냐고 물어 보셔서 약쑥스킨이라고  하니 한번 보자고 해서 뚜껑 열어서 향 맞아보고 손에 조금만 부어 보라고 해서 부었더니 발라보시더니 금방 흡수되고 촉촉하다고 하시며 얼마냐고 물어 보셔서 써보시라고 그냥 하나 드렸네요 방에 환자도 뭔데 그리 크냐고 하시면서 어떻게 사냐고 물어보시고 다들 관심 보이네요 각질제거가 된다니 일단 닦토로 써보고 조으면 계속 사서 써보려구요,0
프레쥬 진정토너 여름에 시원하게 토너팩 하기 좋아요 향은 쑥 냄새보다는 시트러스계열 레몬향이 나는 편이구요대용량인데다 이라서 한통은 냉장고에 넣어놓고 자외선 높은 날에 진정용으로 팩하면 시원하고 진정도 되고 좋습니다가격이 워낙 저렴해서 크게 기대 안했는데 피지 많이 올라오는 여름에 쓰기 좋은 토너입니다,1
대이고 건성민감건성피부에  슬프면 앙대는데짐승용량착한가격부담없이 닥토스퇄마스크 트러블이 문제라 오겹솜에 마구 뿌리고 얼굴에 매매 도배후 분뒤 제거하믄 진정효과 굿넘 커서 쓸때 무거버서 다이소공병에 덜어씀아침에 개기름닦기용으로 씀클워터 대용으로요것도 맘에 듦여름에 더 유용하게 쓸것같아 좋네사길 망설이시면 꼭 사두시라맴이 든든하거임,1
다른분 말처럼 향이 강하네요발랐을때 깔끔한 느낌보다는 살짝 텁텁한 느낌이었어요 그렇다고 끈적이거나 그런건 아니지만 개운깔끔하지는 않았어요 진정토너라해서 기대를 너무한건가요진정효과는 두번째치고 볼은 열감으로 발그레되고 좁쌀같이 올라오고 건조하기까지 아침에 얼굴 당겨 거울봤다가 놀랬어요 땡기는 피부팩한줄 팩하고 굳었을때 웃으면 주름 생기듯 얼굴 근육에 따라 줄이 생기며 구겨지는데 이건 나랑은 아닌듯 싶네요토너수분크림팩 여기꺼만 사용,0
스킨은 프레쥬만 써요작년에 접촉성 피부염으로 고생했을 때 연고고 레이저고 아무 소용없었는데 프레쥬 스킨 쓰고 나았거든요  그후로 계속 떨어뜨리지 않고 쟁여두게 돼요가격도 에 너무 저렴해서 품질 괜찮은가 했는데 수분부족형지성인 저한테 워낙 잘 맞아서 제발 단종 안됐으면 좋겠습니다세안하고 닦토 한번 하고 푹 적셔서 이마 턱쪽 코에 세개 화장솜 적셔서 잠시 올려둬요 여름인데도 존 트러블 걱정 없고 좋습니다,1
닦토용으로 주문해 봤어요 저렴한데 가격대비 꽤 괜찮은것 같아요쑥향이 별로 안난다는 후기가 있었는데 정말 쑥향은 안느껴지네요 대신 은은한 허브향이 나는데 제가 좋아하는 달팡 오일향이랑 흡사해서 좋네요 전이런 은은한 허브향은 누구나 다 좋아 하지만 좀 흔하게 맡아본 향이고쑥향 특이할것 같아 약간 기대했는데 안나요아 배송 이번에 꽤 느렸네요,1
쑥이라 해서 쑥 향이 나는 줄 알았지만 쑥향은 전혀 없고 보통 화장수의 향입니다엄청 대용량이고 가성비 좋은 것 같아요뚜껑부분 재질이 조금 아쉽습니다 대용량이라 오래 쓸텐데 몇번 여닫다 보면 떨어질거 같기도 하고 테두리가 날카롭습니다 그 외에는 아직까지는 만족,0
